timestamp,energyConsumption
20/09/2022 20:30,0.072
20/09/2022 21:00,0.05
20/09/2022 21:30,0.036
20/09/2022 22:00,0.114
20/09/2022 22:30,0.066
20/09/2022 23:00,0.11
20/09/2022 23:30,0.107
21/09/2022 00:00,0.097
21/09/2022 00:30,0.066
21/09/2022 01:00,0.035
21/09/2022 01:30,0.027
21/09/2022 02:00,0.018
21/09/2022 02:30,0.027
21/09/2022 03:00,0.021
21/09/2022 03:30,0.017
21/09/2022 04:00,0.026
21/09/2022 04:30,0.014
21/09/2022 05:00,0.023
21/09/2022 05:30,0.023
21/09/2022 06:00,0.014
21/09/2022 06:30,0.024
21/09/2022 07:00,0.018
21/09/2022 07:30,0.021
21/09/2022 08:00,0.02
21/09/2022 08:30,0.018
21/09/2022 09:00,0.024
21/09/2022 09:30,0.013
21/09/2022 10:00,0.99
21/09/2022 10:30,1.047
21/09/2022 11:00,0.057
21/09/2022 11:30,0.017
21/09/2022 12:00,0.039
21/09/2022 12:30,0.019
21/09/2022 13:00,0.018
21/09/2022 13:30,0.05
21/09/2022 14:00,0.035
21/09/2022 14:30,0.03
21/09/2022 15:00,0.031
21/09/2022 15:30,0.026
21/09/2022 16:00,0.029
21/09/2022 16:30,0.058
21/09/2022 17:00,0.037
21/09/2022 17:30,0.032
21/09/2022 18:00,0.279
21/09/2022 18:30,0.181
21/09/2022 19:00,0.113
21/09/2022 19:30,0.119
21/09/2022 20:00,0.268
21/09/2022 20:30,0.244
21/09/2022 21:00,0.853
21/09/2022 21:30,0.15
21/09/2022 22:00,0.092
21/09/2022 22:30,0.078
21/09/2022 23:00,0.081
21/09/2022 23:30,0.037
22/09/2022 00:00,0.028
12/10/2022 00:00,0.056
12/10/2022 00:30,0.046
12/10/2022 01:00,0.03
12/10/2022 01:30,0.029
12/10/2022 02:00,0.028
12/10/2022 02:30,0.027
12/10/2022 03:00,0.019
12/10/2022 03:30,0.025
12/10/2022 04:00,0.017
12/10/2022 04:30,0.024
12/10/2022 05:00,0.019
12/10/2022 05:30,0.018
12/10/2022 06:00,0.023
12/10/2022 06:30,0.014
12/10/2022 07:00,0.025
12/10/2022 07:30,0.019
12/10/2022 08:00,0.019
12/10/2022 08:30,0.024
12/10/2022 09:00,0.015
12/10/2022 09:30,0.025
12/10/2022 10:00,1.735
12/10/2022 10:30,0.993
12/10/2022 11:00,0.037
12/10/2022 11:30,0.056
12/10/2022 12:00,0.228
12/10/2022 12:30,0.082
12/10/2022 13:00,0.095
12/10/2022 13:30,0.037
12/10/2022 14:00,0.016
12/10/2022 14:30,0.024
12/10/2022 15:00,0.016
12/10/2022 15:30,0.024
12/10/2022 16:00,0.015
12/10/2022 16:30,0.023
12/10/2022 17:00,0.024
12/10/2022 17:30,0.389
12/10/2022 18:00,0.355
12/10/2022 18:30,0.036
12/10/2022 19:00,0.042
12/10/2022 19:30,0.038
12/10/2022 20:00,0.086
12/10/2022 20:30,0.046
12/10/2022 21:00,0.069
12/10/2022 21:30,0.137
12/10/2022 22:00,0.062
12/10/2022 22:30,0.048
12/10/2022 23:00,0.053
12/10/2022 23:30,0.082
13/10/2022 00:00,0.046
13/10/2022 00:30,0.042
13/10/2022 01:00,0.059
13/10/2022 01:30,0.035
13/10/2022 02:00,0.019
13/10/2022 02:30,0.028
13/10/2022 03:00,0.021
13/10/2022 03:30,0.022
13/10/2022 04:00,0.022
13/10/2022 04:30,0.018
13/10/2022 05:00,0.028
13/10/2022 05:30,0.016
13/10/2022 06:00,0.025
13/10/2022 06:30,0.015
13/10/2022 07:00,0.024
13/10/2022 07:30,0.015
13/10/2022 08:00,0.026
13/10/2022 08:30,0.904
13/10/2022 09:00,0.472
13/10/2022 09:30,0.014
13/10/2022 10:00,0.104
13/10/2022 10:30,0.02
13/10/2022 11:00,0.018
13/10/2022 11:30,0.022
13/10/2022 12:00,0.017
13/10/2022 12:30,0.025
13/10/2022 13:00,0.016
13/10/2022 13:30,0.022
13/10/2022 14:00,0.085
13/10/2022 14:30,0.032
13/10/2022 15:00,0.021
13/10/2022 15:30,0.025
13/10/2022 16:00,0.065
13/10/2022 16:30,0.027
13/10/2022 17:00,0.052
13/10/2022 17:30,0.048
13/10/2022 18:00,0.037
13/10/2022 18:30,0.025
13/10/2022 19:00,0.115
13/10/2022 19:30,0.17
13/10/2022 20:00,0.025
13/10/2022 20:30,0.05
13/10/2022 21:00,0.059
13/10/2022 21:30,0.185
13/10/2022 22:00,0.238
13/10/2022 22:30,0.052
13/10/2022 23:00,0.036
13/10/2022 23:30,0.035
14/10/2022 00:00,0.033
